Enormous|Your enormous puppy is so happy to see you!|Animals
Rolled|Your little puppy rolled over on its back when it saw you coming!|Animals
Puppet|Your little puppet loves you so much!|Fantasy
Back|The little rabbit ran back to her cozy burrow.|Nature
Mask|The little girl put on her happy mask to pretend she was a brave superhero.|Fantasy
Fell|The little bird fell from its nest into my arms.|Animals
Repeated|You repeated your favorite dance move so many times that you got it just right!|Emotions
Chasing|I love chasing butterflies in our garden with you on sunny afternoons!|Nature
About|About a million butterflies danced around me in the garden yesterday.|Fantasy
Pancake|I made you a yummy pancake with your favorite syrup and strawberries!|Home
Little|Little rabbit found its lost ball in the sunshine!|Nature
Want|I really want a big hug from my best friend right now!|Emotions
Over|You will never be over the best day of your birthday party again!|Emotions
Verse|You can write your own special verse just for you!|Fantasy
Orange|The big, bright orange balloon was flying high in the sunny sky.|Nature
Cockerel|"The little cockerel let out a loud ""Cock-a-doodle-doo!"" when he saw his favorite ball bouncing around in the yard."|Animals
Beginning|The magical beginning of our new adventure is just around the corner!|Fantasy
Ending|When our favorite book comes to an ending, it means we get to imagine what happens next!|Fantasy
Scare|When you least expect it, a friendly ghost will scare you with its silly dance moves!|Fantasy
Sneaky|The sneaky rabbit in the garden was hiding behind a big leaf.|Animals
Tempt|Your favorite cookie is just a little bit tempting, so think twice before taking a big bite!|Fantasy
Inside|Inside your heart is where love lives!|Emotions
Eucalyptus|The little girl planted a small eucalyptus tree in her garden and watched it grow tall and strong like her brave little heart.|Nature
Nap|It's time to take a happy nap under your favorite blanket with your cuddly teddy bear by your side!|Emotions
Bent|Your little rabbit's favorite toy is bent but still makes you smile!|Animals
Bunch|You gave me a bunch of hugs when I was feeling sad today!|Emotions
Twist|You got to twist the colorful rope around your fingers and watch it spin out in every direction!|Action
Gulp|Gulping down her first sip of ice cream made her eyes light up with a big happy smile.|Emotions
Gurgle|A happy fish was making lots of yummy gurgle sounds in its underwater home!|Nature
Ape|The little boy hugged his pet ape monkey tightly because it was his birthday!|Animals
Doing|Doing something you love makes your heart happy!|Emotions
Slurp|When you drink your favorite juice, it makes the yummiest slurping sound that always makes me smile!|Emotions
Join|Can you join us for a super fun playdate tomorrow?|Action
Write|You can write a love letter to your favorite animal!|Fantasy
Very|Very happy elephants dance in the sunshine every day!|Fantasy
Been|You been waiting for your birthday party all week!|Emotions
Because|Because my mom loves me, she always makes me feel better when I'm sad.|Emotions
Those|Those big, fluffy clouds are my favorite things in the whole wide world!|Emotions
Instructions|Let's follow the instructions carefully so we can build our own super cool spaceship!|Action
Guide|You can be a guide for your little brother when he's feeling lost and scared at night.|Family
Labels|You get to give labels to all your toys and make them special just like you!|Home
Sign|You drew such a great sign on your birthday cake that made everyone smile!|Action
Mix|You can mix colorful paint to create a beautiful rainbow art!|Colors
Colours|The colours in the rainbow are smiling at us!|Fantasy
Goes|Your heart goes out to your best friend when they're feeling sad.|Emotions
Found|You found your missing best friend in the park!|Animals
Choose|Do you get to choose between having a yummy ice cream cone or playing with your favorite toy?|Family
Fold|You can make a special paper crane by folding its wings very carefully!|Fantasy
Need|You need a big hug from someone who loves you very much!|Emotions
Easy|You can do anything that is easy!|Emotions
Poster|You drew an amazing poster of your favorite superhero!|School
Finish|You can finish your puzzle and feel so proud of yourself!|Action
Should|You should give your mom a big hug because she loves you very much!|Emotions
People|People are like superheroes in our community!|Family
Practise|Let's practise our reading skills together!|Education
Keep|Remember, always keep your new pet's favorite toy safe and sound.|Home
Sorting|Sorting your toys is like giving them a big hug from the inside out!|Home
Penguin|The little penguin waddled up to his best friend and gave him a big hug!|Animals
Flip|When you flip over your favorite toy, it can feel like a magic trick!|Fantasy
Over|You will never be over the best day of your birthday party again!|Emotions
Recipe|We're going to make a super yummy recipe together and share it with our family!|Food
Ingredients|When you mix all your favorite ingredients together in a big bowl of happiness, magic happens!|Food
Flour|When we mix flour with love, magical cookies are born!|Home
Teaspoon|She carefully poured a tiny amount of special glitter from her favorite teaspoon into the birthday cake mix.|Home
Features|You have lots of amazing features that make you special just like your best friends!|School
Else|If you don't share your toys with others else they might not want to play with you tomorrow.|Emotions
However|However, even when we make mistakes, Mommy is always there to give us big hugs!|Emotions
Please|Please give me a big hug because I'm so happy to see you!|Emotions
Knew|I knew you could do it if I believed in you!|Emotions
Large|The large, fluffy kitten in the picture is so soft that it looks like you can hug it forever!|Fantasy
Never|Never say never to magic!|Fantasy
Show|Let's put on a big show for Grandma today!|Home
Without|Without you, my favorite toy looks very lonely.|Emotions
Both|Both you and your best friend can have a super cool adventure together!|Adventure
Make|You can make your own special Valentine's Day card for Mommy or Daddy today!|Home
Ask|Will you ask your best friend if they want to play with you today?|School
Bite|Your puppy's little bite made you feel so happy and loved today!|Animals
Smell|When you smell freshly baked cookies, it makes everyone feel happy and cozy inside!|Emotions
Another|Another beautiful butterfly landed on my shoulder!|Emotions
Please|Please give me a big hug because I'm so happy to see you!|Emotions
While|While playing with her favorite stuffed animal, she felt happy again after losing it yesterday.|Emotions
Still|The picture on your wall is still a beautiful smile from Mommy.|Emotions
Touch|When you give your mom or dad a big hug, it's like touching their heart with love!|Emotions
Time|Time is when we make memories that will last forever with our family and friends!|Emotions
Ear holes|Your ear holes are very special because they help you hear your favorite songs and stories!|Home
Pyjamas|You get to wear your favorite pyjamas and have a big hug from Mommy tonight!|Home
Guffaw|Your little brother let out such a big guffaw that it made you laugh too!|Emotions
Laugh|When you make someone laugh with your silly joke, it makes their face light up and they feel super happy!|Emotions
Daintily|She put her delicate flower daintily in her hair.|Fantasy
Around|The big rainbow is around every corner, making everything feel happy and special today!|Fantasy
Croak|The little frog let out a happy croak when his mommy came to pick him up from the pond.|Animals
Merrily|Lily danced merrily down the path on her first day of summer vacation!|Emotions
